,tamanho,ano,garagem,predicted
360,85.0,1978,2,140132.3
361,140.0,1940,1,146147.3
362,179.0,2003,2,220482.84
363,92.0,1972,1,110927.984
364,146.0,1976,2,179067.62
365,125.0,1920,1,121659.734
366,130.0,1963,2,154295.27
367,133.0,1962,1,147569.73
368,118.0,1954,1,133493.75
369,120.0,1959,2,152604.14
370,155.0,2000,2,211378.1
371,148.0,1959,2,178299.53
372,70.0,1984,1,120362.25
373,123.0,1953,1,133493.75
374,179.0,2003,2,220482.84
375,84.0,1922,0,80953.63
376,85.0,1996,2,149765.42
377,229.0,2004,2,280496.66
378,172.0,2010,3,360801.47
379,167.0,2000,2,217446.34
380,157.0,1924,1,148867.56
381,121.0,2006,2,189608.06
382,167.0,2006,2,241134.66
383,73.0,1928,2,99078.4
384,181.0,1992,2,220482.84
385,118.0,2004,2,179911.61
386,110.0,1910,0,83765.45
387,105.0,1976,1,133651.17
388,137.0,1999,2,189538.98
389,217.0,2007,3,365677.4
390,127.0,1900,1,115849.69
391,182.0,2001,2,218481.44
392,82.0,1959,1,121669.125
393,73.0,1941,0,90150.63
394,96.0,1940,1,111984.43
395,106.0,1956,1,135408.84
396,83.0,1972,2,132901.02
397,168.0,1962,1,175996.1
398,100.0,1920,1,109613.91
399,144.0,2006,2,224075.78
400,120.0,1996,2,174133.38
401,122.0,2005,2,182280.83
402,62.0,1940,1,92768.65
403,210.0,1998,2,259811.56
404,146.0,1995,2,201140.34
405,151.0,1976,2,179067.62
406,152.0,1936,1,146147.3
407,156.0,1915,1,140032.3
408,202.0,2006,3,334258.03
409,193.0,2007,3,361658.1
410,119.0,1958,1,136196.69
411,98.0,1955,2,130177.4
412,137.0,2009,2,222010.77
413,96.0,1927,2,117672.09
414,195.0,1993,3,247401.69
415,124.0,2007,2,207232.27
416,130.0,1978,2,156485.94
417,244.0,1918,3,237404.81
418,105.0,1940,1,117844.21
419,98.0,1968,1,133438.39
420,125.0,1997,4,220318.12
421,149.0,1977,2,179357.69
422,92.0,1954,2,121637.97
423,244.0,1998,3,305827.8
424,111.0,1956,1,135408.84
425,129.0,1946,1,122463.484
426,153.0,1989,2,206996.28
427,84.0,1957,1,120039.26
428,112.0,2007,2,182501.9
429,131.0,1988,2,172354.64
430,92.0,1971,1,110927.984
431,111.0,1920,0,90945.445
432,127.0,1971,2,151642.84
433,149.0,1997,2,205522.14
434,59.0,1972,0,88814.4
435,154.0,1996,2,211378.1
436,104.0,1920,2,123799.82
437,84.0,1926,1,102413.625
438,64.0,1913,1,87655.74
439,111.0,1920,2,123799.82
440,223.0,2008,3,474388.8
441,134.0,1955,0,116901.43
442,146.0,1930,2,165022.1
443,117.0,2006,3,189469.7
444,177.0,1994,2,220482.84
445,157.0,1956,2,177069.94
446,175.0,1966,2,189404.58
447,175.0,1998,2,220482.84
448,128.0,1937,1,125119.3
449,110.0,1948,1,124308.79
450,76.0,1930,1,104789.25
451,142.0,1975,2,179067.62
452,163.0,1996,2,217446.34
453,148.0,2008,2,266279.12
454,161.0,1976,2,180490.45
455,115.0,1973,2,153856.97
456,125.0,1916,3,127563.32
457,154.0,1954,2,174367.0
458,155.0,1925,1,148867.56
459,112.0,1950,1,124308.79
460,180.0,2009,2,250407.42
461,105.0,1936,2,129426.08
462,80.0,1965,1,121669.125
463,154.0,1934,1,148867.56
464,97.0,1978,0,132614.7
465,131.0,2004,2,180214.9
466,119.0,1970,2,149951.72
467,153.0,1942,1,148867.56
468,152.0,2006,3,250556.23
469,159.0,1993,2,206996.28
470,140.0,1985,2,197449.48
471,183.0,1977,2,190755.27
472,100.0,2005,2,155640.16
473,184.0,2006,3,328656.34
474,153.0,2000,2,211378.1
475,90.0,1963,2,132957.48
476,139.0,1997,2,199228.22
477,246.0,2006,3,362878.53
478,160.0,2007,3,308902.16
479,105.0,1937,2,129426.08
480,172.0,2004,3,290815.28
481,166.0,2003,3,279869.94
482,170.0,1915,1,147747.66
483,113.0,1998,2,168073.11
484,93.0,1962,1,128308.63
485,103.0,1950,1,124308.79
486,100.0,1965,2,146315.44
487,138.0,1971,2,165531.81
488,224.0,1900,2,150659.4
489,59.0,1970,1,94557.516
490,121.0,1976,1,134642.12
491,147.0,1941,1,146147.3
492,135.0,2006,2,206874.86
493,118.0,1960,1,137826.55
494,82.0,1938,1,104789.25
495,67.0,1920,0,66518.54
496,300.0,1992,2,343973.34
497,169.0,1925,1,167795.6
498,84.0,1967,1,121669.125
499,85.0,1958,1,120039.26
500,113.0,1973,1,126297.56
501,164.0,2005,2,228919.92
502,113.0,1965,2,149915.75
503,167.0,1959,2,183818.58
504,123.0,1974,2,156195.88
505,182.0,1952,2,171853.42
506,178.0,1993,2,220482.84
507,113.0,2009,2,188108.17
508,128.0,1928,2,136643.47
509,97.0,1959,1,131538.47
510,127.0,1951,1,132314.58
511,127.0,2005,2,182280.83
512,80.0,1958,2,126170.71
513,100.0,1983,2,151300.6
514,73.0,1926,1,97801.88
515,188.0,2009,3,373995.56
516,197.0,1972,2,214588.0
517,218.0,1996,3,293026.34
518,167.0,1998,2,217446.34
519,193.0,1926,1,194252.6
520,120.0,1900,0,97278.96
521,116.0,1957,1,136196.69
522,155.0,1947,2,161136.69
523,434.0,2007,3,185543.69
524,223.0,1996,3,303162.44
525,118.0,2005,2,181977.53
526,86.0,1956,1,120039.26
527,252.0,2008,3,527510.6
528,56.0,1920,0,70866.71
529,234.0,1957,2,198541.0
530,140.0,1988,2,197449.48
531,127.0,1920,2,133392.83
532,77.0,1955,1,120039.26
533,31.0,1946,0,69962.08
534,131.0,2004,2,180214.9
535,125.0,1910,0,102122.22
536,160.0,1998,2,211378.1
537,80.0,1972,2,126114.24
538,108.0,1968,1,137038.7
539,149.0,2001,2,215375.17
540,171.0,2006,3,301127.0
541,212.0,2000,3,295691.72
542,156.0,1998,2,211378.1
543,71.0,1998,1,129648.18
544,139.0,2006,2,217781.86
545,203.0,1988,3,259565.38
546,152.0,1923,2,165022.1
547,71.0,1970,2,121502.51
548,77.0,1955,2,114851.18
549,195.0,2003,2,254409.28
550,99.0,1977,2,146771.81
551,86.0,1957,1,120039.26
552,160.0,2006,3,276683.9
553,105.0,1949,2,129426.08
554,190.0,2003,3,304680.44
555,97.0,1922,1,107714.0
556,101.0,1957,1,131808.53
557,124.0,1920,1,121659.734
558,134.0,1996,2,189538.98
559,145.0,2003,2,208115.62
560,129.0,1957,2,154295.27
561,129.0,1974,2,156195.88
562,93.0,1940,0,93273.47
563,156.0,1918,2,160541.86
564,213.0,1992,2,254508.3
565,153.0,1915,1,140032.3
566,233.0,2005,3,335010.53
567,143.0,2004,2,208115.62
568,198.0,1983,2,267613.5
569,88.0,1979,2,138786.34
570,161.0,1965,2,179878.64
571,80.0,1959,1,121669.125
572,157.0,2009,2,263640.38
573,133.0,2000,2,189538.98
574,103.0,1971,1,126297.56
575,113.0,1947,1,124308.79
576,137.0,1928,1,143022.45
577,123.0,1966,2,152604.14
578,129.0,2007,2,195443.08
579,167.0,1954,1,164428.22
580,133.0,1960,2,165375.53
581,190.0,2008,3,383660.22
582,76.0,1990,0,130169.81
583,258.0,1893,2,200980.34
584,146.0,1935,1,146147.3
585,188.0,2005,3,307719.12
586,78.0,1918,1,103779.79
587,80.0,1982,2,135697.52
588,137.0,1968,1,150378.44
589,87.0,1930,1,111984.43
590,147.0,2004,2,208115.62
591,213.0,2008,3,474388.8
592,76.0,1982,2,135697.52
593,79.0,2003,2,146823.95
594,86.0,1975,1,118281.58
595,170.0,2005,3,295919.9
596,127.0,1910,1,122544.06
597,130.0,2006,3,219684.55
598,153.0,1977,2,182651.5
599,145.0,1980,2,179357.69
600,177.0,2005,2,231956.44
601,128.0,1937,1,125119.3
602,178.0,1992,2,220482.84
603,111.0,2004,2,164905.61
604,139.0,2002,2,201821.7
605,185.0,1965,2,199359.75
606,97.0,1996,2,149765.42
607,187.0,1948,1,166705.78
608,297.0,1934,2,323116.0
609,96.0,1961,1,128308.63
610,200.0,2000,3,282567.34
611,96.0,1978,2,146771.81
612,174.0,2001,2,220482.84
613,104.0,2007,0,136465.6
614,59.0,1972,0,88814.4
615,98.0,1963,2,141496.92
616,140.0,2002,2,201821.7
617,77.0,1954,2,114851.18
618,170.0,2007,3,330981.97
619,210.0,2003,3,321835.75
620,80.0,1914,0,76325.77
621,243.0,1974,2,214582.89
622,91.0,1977,2,140132.3
623,140.0,2000,2,199228.22
624,166.0,1972,2,186627.28
625,104.0,1962,2,147030.75
626,132.0,1960,1,147569.73
627,141.0,1955,1,146361.78
628,193.0,1969,2,217434.55
629,125.0,1964,2,152604.14
630,163.0,1880,1,131226.17
631,144.0,2006,2,224075.78
632,131.0,1977,2,156485.94
633,98.0,1954,1,131808.53
634,98.0,1980,2,145425.86
635,315.0,1914,0,213202.72
636,74.0,1936,0,90150.63
637,129.0,1954,1,135184.88
638,74.0,1910,0,76325.77
639,146.0,2006,3,234526.92
640,141.0,2003,2,208115.62
641,179.0,2001,2,220482.84
642,251.0,1972,2,293368.7
643,151.0,1969,2,178455.81
644,164.0,2009,3,336224.8
645,91.0,1971,2,135842.48
646,97.0,1950,2,120047.72
647,102.0,1953,2,140526.14
648,171.0,1966,2,189404.58
649,59.0,1970,0,88814.4
650,155.0,2007,2,257404.12
651,140.0,1940,1,146147.3
652,159.0,1996,2,211378.1
653,136.0,1906,1,126745.35
654,196.0,1995,3,292672.9
655,101.0,1971,1,122697.26
656,98.0,1959,1,133438.39
657,140.0,1931,1,146147.3
658,135.0,1948,1,140366.64
659,138.0,1964,2,165375.53
660,180.0,1976,2,190016.39
661,227.0,1994,3,288827.28
662,129.0,1968,2,151642.84
663,110.0,1972,2,153856.97
664,195.0,2005,3,307719.12
665,180.0,2000,2,220482.84
666,221.0,1965,2,198507.06
667,156.0,1994,2,206996.28
668,134.0,1956,2,165375.53
669,110.0,1922,1,110343.92
670,137.0,2005,2,194198.39
671,127.0,1925,1,125119.3
672,112.0,1977,2,156246.86
673,171.0,1957,2,186595.88
674,106.0,1965,1,137038.7
675,134.0,1978,2,166433.69
676,165.0,1900,3,121918.26
677,74.0,1924,1,97801.88
678,190.0,2008,3,383660.22
679,92.0,1961,2,132957.48
680,86.0,1980,1,119125.59
681,141.0,1932,1,146147.3
682,120.0,1996,2,174133.38
683,155.0,2002,3,246626.31
684,171.0,1998,2,220482.84
685,194.0,1984,2,225181.94
686,164.0,2007,2,249429.4
687,102.0,2004,2,155640.16
688,132.0,2007,2,248875.11
689,127.0,2005,2,182280.83
690,79.0,2004,2,146823.95
691,401.0,1994,3,598532.1
692,234.0,1989,2,268334.38
693,100.0,1921,1,109613.91
694,143.0,1936,2,165022.1
695,106.0,1987,2,157077.56
696,57.0,1921,1,85268.36
697,107.0,1952,1,135408.84
698,83.0,1965,1,121669.125
699,129.0,2004,2,180214.9
700,167.0,2002,3,259556.53
701,108.0,1969,2,149915.75
702,239.0,2006,3,347382.47
703,168.0,1900,2,141066.19
704,138.0,2004,2,192132.47
705,101.0,1930,0,92130.01
706,169.0,1971,2,189404.58
707,123.0,2006,2,196476.2
708,135.0,2007,2,217630.92
709,84.0,1966,1,121669.125
710,68.0,1935,0,71643.2
711,109.0,1900,1,104060.664
712,114.0,1988,2,173525.97
713,89.0,1970,2,135842.48
714,137.0,1976,2,166143.62
715,125.0,1974,2,156195.88
716,237.0,1890,2,159738.02
717,109.0,1973,2,153856.97
718,225.0,1993,3,274575.6
719,90.0,1969,1,121669.125
720,162.0,1985,2,207652.69
721,79.0,2004,2,146823.95
722,80.0,1970,2,126114.24
723,137.0,1954,1,143236.94
724,158.0,2007,3,308902.16
725,80.0,1970,2,126114.24
726,156.0,1988,2,206996.28
727,114.0,2007,2,182501.9
728,165.0,1958,3,136772.31
729,112.0,1925,2,123401.63
730,150.0,1995,2,201140.34
731,106.0,2003,2,155640.16
732,189.0,1998,2,239344.06
733,106.0,1961,1,137038.7
734,88.0,1968,1,121669.125
735,164.0,1914,2,154802.02
736,97.0,1950,2,120047.72
737,167.0,2005,3,264661.12
738,111.0,1987,0,143537.89
739,161.0,2004,2,211378.1
740,133.0,1910,2,140685.17
741,85.0,1961,1,121669.125
742,125.0,2000,2,174133.38
743,136.0,1963,2,165375.53
744,124.0,1993,2,172354.64
745,252.0,1976,2,293368.7
746,210.0,2000,2,259811.56
747,245.0,1880,4,265826.34
748,160.0,1996,2,211378.1
749,142.0,1945,1,143491.48
750,106.0,1910,0,83765.45
751,123.0,2003,2,180214.9
752,139.0,1997,2,199228.22
753,195.0,2005,3,307719.12
754,95.0,1969,2,142482.0
755,137.0,1999,2,189538.98
756,164.0,2007,2,249429.4
757,129.0,1978,2,156485.94
758,139.0,1999,2,199228.22
759,235.0,1995,3,288827.28
760,80.0,1959,1,121669.125
761,121.0,1924,2,132576.73
762,144.0,2009,2,224000.83
763,220.0,1999,3,295691.72
764,139.0,1995,2,197449.48
765,140.0,2008,2,242521.31
766,159.0,1988,2,206996.28
767,163.0,1940,1,167084.03
768,171.0,2004,2,220482.84
769,305.0,2003,3,500521.9
770,80.0,1982,2,135697.52
771,113.0,1951,2,134007.02
772,104.0,1976,2,155956.8
773,85.0,1958,1,120039.26
774,183.0,2006,3,276373.8
775,112.0,1998,2,168073.11
776,150.0,2005,3,231271.45
777,83.0,1974,2,135000.84
778,188.0,1977,2,194218.27
779,93.0,1977,2,146771.81
780,116.0,1995,2,169459.31
781,149.0,1992,2,201140.34
782,133.0,2001,2,199392.02
783,103.0,1978,2,156246.86
784,138.0,1914,0,106462.555
785,125.0,1967,2,149951.72
786,153.0,1915,1,140032.3
787,194.0,2004,2,239344.06
788,84.0,1954,1,120039.26
789,194.0,1966,2,217434.55
790,106.0,2005,2,155640.16
791,99.0,1976,2,146481.75
792,187.0,1996,2,246976.78
793,139.0,2007,2,228537.92
794,176.0,1994,2,220482.84
795,145.0,1980,2,179357.69
796,119.0,1977,2,156485.94
797,72.0,1953,1,115427.516
798,292.0,2008,3,519314.47
799,164.0,1937,1,167084.03
800,157.0,1997,2,211378.1
801,111.0,1916,2,123799.82
802,135.0,2005,2,194198.39
803,262.0,2008,3,533857.9
804,105.0,1954,1,135408.84
805,133.0,2008,2,218909.48
806,91.0,1967,1,121669.125
807,146.0,1923,2,165022.1
808,101.0,1966,2,146315.44
809,199.0,1898,2,165882.7
810,122.0,1974,2,156195.88
811,79.0,2004,2,146823.95
812,97.0,1952,2,128277.484
813,134.0,1958,1,145939.88
814,116.0,1918,1,116816.484
815,154.0,1998,2,211378.1
816,94.0,1954,1,126678.766
817,157.0,2002,3,262893.44
818,98.0,1971,2,144381.92
819,126.0,2009,2,205492.89
820,152.0,2003,2,208115.62
821,87.0,1953,2,121637.97
822,161.0,2003,2,211378.1
823,138.0,1940,1,143022.45
824,138.0,2006,2,215791.8
825,194.0,2007,3,361658.1
826,73.0,1924,0,90150.63
827,133.0,2001,2,199392.02
828,198.0,1967,2,214588.0
829,114.0,2005,2,174386.83
830,129.0,1957,2,154295.27
831,111.0,2005,2,164905.61
832,170.0,2003,2,220482.84
833,141.0,1964,2,178299.53
834,106.0,1961,2,147030.75
835,99.0,1950,2,121947.625
836,145.0,1948,2,162366.28
837,92.0,1973,1,110927.984
838,102.0,1995,1,131537.17
839,111.0,1946,1,117844.21
840,138.0,1925,1,143022.45
841,143.0,1904,2,149753.77
842,108.0,1966,2,149915.75
843,167.0,1961,0,159576.81
844,132.0,1915,3,131630.06
845,158.0,1975,2,180490.45
846,165.0,1993,2,213064.53
847,80.0,1972,1,110927.984
848,219.0,1908,2,184312.94
849,172.0,1976,2,190016.39
850,79.0,2003,2,146823.95
851,135.0,2003,2,192132.47
852,153.0,1941,1,148867.56
853,134.0,1964,2,165375.53
854,165.0,1955,2,179436.14
855,97.0,1962,1,131538.47
856,95.0,1978,2,146771.81
857,138.0,1994,2,187760.25
858,127.0,1976,2,156195.88
859,247.0,1968,2,287874.97
860,132.0,1918,1,143629.62
861,97.0,1965,2,142482.0
862,102.0,1984,2,155772.02
863,107.0,1959,1,137038.7
864,127.0,2007,2,207232.27
865,93.0,1970,2,142482.0
866,153.0,2006,3,254986.39
867,104.0,1961,2,147030.75
868,216.0,1948,2,188426.98
869,181.0,1993,2,220482.84
870,83.0,1962,1,121669.125
871,156.0,1998,2,211378.1
